ESPN 스피드 월드 (ESPN Speed World).smc	OK	32834	88.15	2.40	0	$80:cd3d	000001	13257
Earthbound (Korea-patch U-K v20260704 v1.0).smc	OK	57344	73.59	4.07	0	$c0:8762	7e002b	13206
F-1 그랑프리 (F-1 Grand Prix).smc	OK	4852	55.40	5.64	0	$00:800f	000196	13934
F-1 그랑프리 파트 2 (F-1 Grand Prix Part II).smc	UNRENDERED	0	0.00	3.83	0	$c0:a378	002140	10671
F-제로 (F-Zero).smc	OK	53187	75.75	0.06	0	$00:803c	000040	14252
F-제로.smc	OK	53195	75.75	0.06	0	$00:803c	000040	14252
F1 월드 챔피언십 에디션 (F1 - World Championship Edition).smc	BOOT_CRASH	-	-	-	-	-	-	
F1 폴 포지션 (F1 Pole Position).smc	OK	33103	0.00	5.46	0	$00:8feb	1f2140	11168
FIFA 사커 96 (FIFA Soccer 96).smc	OK	19185	52.01	11.15	0	$80:8710	00004c	13043
FIFA 사커 97 골드 에디션 (FIFA Soccer 97).smc	OK	25707	75.24	2.59	0	$80:8776	000052	13245
FIFA 인터내셔널 사커 (FIFA International Soccer).smc	OK	54422	62.66	8.77	0	$80:85e5	800865	12298
G.O.D - 눈을 뜨라고 부르는 소리가 들려 (G.O.D - Mezame yo to Yobu Koe ga Kikoe).smc	OK	26234	77.20	4.27	0	$00:ca67	000049	14852
GD 린 (Gdleen).smc	OK	21992	44.48	0.00	0	$00:9efe	0003df	11993
GP-1 (GP-1).smc	OK	56383	0.00	3.90	0	$1a:81fd	1a2140	12025
GP-1 래피드 스트림 (GP-1 RS - Rapid Stream).smc	OK	55508	0.00	4.82	0	$c3:01ff	002141	13133
GP-1 파트 2 (GP-1 - Part II).smc	OK	55508	0.00	6.28	0	$c3:01ff	002141	13015
GS 미카미 - 퇴마사는 나이스 바디 (GS Mikami - Joreishi wa Nice Body).smc	OK	30940	87.81	0.50	0	$00:8390	000008	14877
GT 레이싱 (GT Racing).smc	OK	55136	37.74	15.52	0	$9f:8014	9f0c05	13482
HAL의 홀인원 골프 (HAL's Hole in One Golf).smc	OK	54874	61.24	2.83	0	$00:8bd2	7e0029	12995
JB 더 슈퍼 배스 (JB The Super Bass).smc	UNRENDERED	0	0.00	0.43	0	$e5:03f5	002140	13942
JRR 톨킨의 반지의 제왕 - 제1권 (J.R.R. Tolkien's The Lord of the Rings - Volume 1).smc	BOOT_CRASH	-	-	-	-	-	-	
JWP 여자 프로레슬링 - 퓨어 레슬 퀸즈 (JWP Joshi Pro Wres - Pure Wrestle Queens).smc	OK	59912	0.00	17.10	0	$c0:97ff	004210	12522
J리그 '96 드림 스타디움 (J.League '96 Dream Stadium).smc	BOOT_CRASH	-	-	-	-	-	-	
